,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
41996,41996,7hUhmkALyQ8SX9mJs5XI3D,Love and Rockets,Love and Rockets,Motorcycle,22,211533,False,0.305,0.849,9,-10.795,1,0.0549,5.82e-05,0.0567,0.464,0.32,141.793,4,goth
76471,76471,5x59U89ZnjZXuNAAlc8X1u,Filippa Giordano,Filippa Giordano,"Addio del passato - From ""La traviata""",22,196000,False,0.287,0.19,7,-12.03,0,0.037,0.93,0.000356,0.0834,0.133,83.685,4,opera
54809,54809,70Vng5jLzoJLmeLu3ayBQq,Susumu Yokota,Symbol,Purple Rose Minuet,37,216506,False,0.583,0.509,1,-9.661,1,0.0362,0.777,0.202,0.115,0.544,90.459,3,idm
16326,16326,1cRfzLJapgtwJ61xszs37b,Franz Liszt;YUNDI,Relajación y siestas,"Liebeslied (Widmung), S. 566",0,218346,False,0.163,0.0368,8,-23.149,1,0.0472,0.991,0.899,0.107,0.0387,69.442,3,classical
109799,109799,47d5lYjbiMy0EdMRV8lRou,Scooter,Scooter Forever,The Darkside,27,173160,False,0.647,0.921,2,-7.294,1,0.185,0.000939,0.371,0.131,0.171,137.981,4,techno
81987,81987,6m1TWFMeon7ai9XLOzdbiR,BTS,Love Yourself 轉 'Tear',FAKE LOVE,76,242333,False,0.557,0.719,2,-4.515,0,0.0371,0.00267,0.0,0.306,0.345,77.502,4,pop
861,861,2hVaNGGvdvvzRPCK9BUZmA,Rosie Thomas;The Shins;Sufjan Stevens;Josh Ottum,Always Be My Baby,Always Be My Baby,51,254306,False,0.516,0.311,1,-13.521,1,0.0306,0.936,0.000281,0.107,0.558,129.958,4,acoustic
105691,105691,4XnOAcX5K9XojJC5o0MlqT,"Sarah, the Illstrumentalist",No Traffic in LA,Finally Out,7,130634,False,0.725,0.632,6,-11.681,0,0.0358,0.103,0.951,0.0847,0.312,122.983,4,study
105515,105515,0wwa9lg3yCKyyOkJLAEtod,Waveum,In The Third Move,Limewire,31,79764,False,0.83,0.261,11,-18.671,1,0.1,0.638,0.934,0.114,0.341,85.009,4,study
110527,110527,2spyaDFRS112FVYq9UZ6Xu,Dj T.H.;Mitraz,Chasing Stars,Chasing Stars - Extended Mix,21,354375,False,0.669,0.918,0,-3.301,0,0.047,0.000981,0.0261,0.521,0.37,129.984,4,trance
83800,83800,569BGSWQapYD8Niuy67Cal,Seven Lions;Blastoyz;Fiora,After Dark (feat. Fiora),After Dark (feat. Fiora),48,229859,False,0.558,0.976,1,-3.906,0,0.125,0.00316,0.38,0.166,0.301,142.003,4,progressive-house
20474,20474,2qSnqsLv7b9GbWFhyZJwMM,Burna Boy;Blxst;Kehlani,The Look - R&B Feels,Solid,0,195134,True,0.554,0.509,1,-9.429,1,0.339,0.149,1.86e-05,0.094,0.718,199.874,4,dance
35703,35703,7IvxwaADtpY4PQB11yt9oF,Israell Muniz;Wesley Safadão,Eu Vou Tirar Você do Cabaré,Eu Vou Tirar Você do Cabaré,39,120000,False,0.743,0.764,5,-9.575,0,0.0575,0.292,0.0,0.0919,0.916,157.95,4,forro
74766,74766,1IDozgb2HiuB31FXbUsvJJ,Capital Inicial,Rosas e Vinho Tinto,Olhos Vermelhos,41,213960,False,0.339,0.455,7,-7.308,1,0.0287,0.0141,0.0,0.136,0.229,133.741,4,mpb
33120,33120,4axYWgXASdsCBHuwInAubT,XXXTENTACION,SKINS,I don’t let go,65,121630,True,0.797,0.293,5,-7.479,1,0.08,0.591,0.0724,0.148,0.478,80.035,4,emo
74052,74052,7cq2nIdClANqlwH4okuYm3,UM44K;Luan Otten,Melhor pensar,Melhor pensar,48,205345,False,0.665,0.431,8,-7.119,1,0.0306,0.416,0.0,0.174,0.698,149.935,4,mpb
66442,66442,1hxZzUfdkfAI5qwJPknp1R,Rik Gaynor,Kids Bopper's Party,Witch Doctor - Party Dance Mix,11,172225,False,0.849,0.854,0,-7.093,1,0.193,0.0669,0.0,0.076,0.757,135.992,4,kids
29284,29284,6uwjDA0Qi6hk8C6lPJIMc9,Zeds Dead;Subtronics;Flowdan,Gassed Up,Gassed Up,58,238285,True,0.643,0.985,4,-1.848,0,0.41,0.0152,0.000965,0.311,0.182,140.029,4,dubstep
21122,21122,5k0xcYedZDXWe48vkgehCc,Busy Signal;Oh Gosh,Perfect Spot (Oh Gosh Remix),Perfect Spot - Oh Gosh Remix,60,184421,False,0.862,0.792,6,-6.177,1,0.0651,0.188,0.00221,0.0882,0.741,94.991,4,dancehall
92851,92851,1llEDq837U8lS5BEeNT8fk,THE MODS,NEWS BEAT,ゴキゲンRADIO,23,165186,False,0.554,0.805,11,-10.681,1,0.0417,0.0112,7.44e-05,0.356,0.766,102.684,4,rockabilly
14918,14918,0lSxCkPszvnXmXMdybir5k,Canciones Infantiles;Musica Infantil;Rondas Infantiles,Subete Al Tren de La Alegria,Las Frutas,28,206880,False,0.894,0.65,2,-11.501,1,0.0389,0.00113,0.421,0.175,0.988,105.064,4,children
12290,12290,5XiVCvi3bXYcFCRpRxk0p2,my little airport,I ALSO DON'T KNOW (Live),你說之後會找我 - LIVE,32,185317,False,0.426,0.227,0,-13.427,1,0.0309,0.422,0.00351,0.617,0.263,140.393,4,cantopop
56753,56753,3xoeyCTIlvBaLuTmewPRwL,Hasan Raheem;Abdullah Kasumbi;Talhah Yunus,Weli Ho,Weli Ho,44,200439,False,0.785,0.553,10,-12.165,1,0.144,0.163,2.37e-05,0.182,0.906,90.971,4,indie-pop
90742,90742,5NpLeFA93egooOzqIh9jZu,Enrique Guzman,Grandes éxitos (Remastered),El mar - Remastered,30,179004,False,0.462,0.374,2,-10.694,0,0.0341,0.712,0.0,0.108,0.653,132.705,4,rock-n-roll
86007,86007,27pyhbC00sCtwKPhlQtOGe,My Chemical Romance,Timeless Rock Hits,Teenagers,2,161920,False,0.459,0.858,4,-3.063,1,0.0626,0.0506,0.0,0.184,0.855,111.682,4,punk
6007,6007,0Jt4oMpZKEFRrHYBNglgzt,Dissection,Reinkaos,Maha-Kali,40,366333,False,0.571,0.853,1,-4.733,0,0.0303,3.37e-05,0.126,0.0919,0.648,109.019,4,black-metal
80478,80478,5dG3KI5rIUwiUQNNr3Y1to,A.R. Rahman;Sid Sriram;Issrath Quadhri,I - Manoharudu (Original Motion Picture Soundtrack),Nuvvunte Naa Jathagaa,61,352613,False,0.45,0.686,0,-4.111,1,0.0361,0.126,0.0,0.147,0.208,78.973,4,pop-film
17051,17051,4C7j2x6EiKygp7V1LjINCO,DJ Flex;Kyle Edwards,Controlla Anthem,Controlla Anthem,39,110210,True,0.904,0.871,8,-8.588,1,0.403,0.00645,5.21e-06,0.0697,0.346,144.993,4,club
66498,66498,0tUVJBF7wuTyS0LBD6VHIg,The Bad Kids,Dede 3x,Dede 3x,11,99004,False,0.864,0.73,6,-5.222,0,0.349,0.00156,0.0,0.114,0.202,97.969,4,kids
50781,50781,0XTjmmvtnqYBbMtMpXFjVB,Ricardo Iorio,Atesorando los cielos,No Me Cambiarán,20,378613,False,0.292,0.766,7,-3.658,1,0.0343,0.0412,0.00016,0.0996,0.225,141.028,4,heavy-metal
48859,48859,63gHnuI9MzZA4lLob8t9IY,Thug Life,Thug Life: Volume 1,Pour Out A Little Liquor,58,209466,True,0.705,0.71,1,-8.208,1,0.287,0.122,0.0,0.656,0.647,87.994,4,hardcore
106366,106366,5BkNCuxzzid0gz9sx3NNbX,First Aid Kit,Stay Gold,My Silver Lining,66,215493,False,0.479,0.725,2,-4.671,1,0.0335,0.026,0.000129,0.209,0.43,101.938,4,swedish
15564,15564,4KLXhuPL5YS4mYZFL8XGBM,SPEECHLESS;Ryan Celsius Sounds,Isolation,Alone Forever,58,80760,False,0.755,0.251,9,-11.074,1,0.0761,0.958,0.77,0.105,0.0583,110.148,4,chill
